index,date,region,absolute_infections,absolute_deaths,region_code,population,infections_(per_100.000),deaths_(per_100.000)
155,2020-03-10,Sachsen-Anhalt,6,0,DE-ST,2208321,0.27169963062435215,0.0
171,2020-03-11,Sachsen-Anhalt,14,1,DE-ST,2208321,0.6339658047901551,0.045283271770725365
187,2020-03-12,Sachsen-Anhalt,14,0,DE-ST,2208321,0.6339658047901551,0.0
203,2020-03-13,Sachsen-Anhalt,11,0,DE-ST,2208321,0.49811598947797897,0.0
219,2020-03-14,Sachsen-Anhalt,2,0,DE-ST,2208321,0.09056654354145073,0.0
250,2020-03-16,Sachsen-Anhalt,35,0,DE-ST,2208321,1.5849145119753878,0.0
266,2020-03-17,Sachsen-Anhalt,29,0,DE-ST,2208321,1.3132148813510356,0.0
282,2020-03-18,Sachsen-Anhalt,38,0,DE-ST,2208321,1.7207643272875637,0.0
298,2020-03-19,Sachsen-Anhalt,43,0,DE-ST,2208321,1.9471806861411907,0.0
314,2020-03-20,Sachsen-Anhalt,51,1,DE-ST,2208321,2.3094468603069935,0.045283271770725365
330,2020-03-21,Sachsen-Anhalt,18,1,DE-ST,2208321,0.8150988918730565,0.045283271770725365
346,2020-03-22,Sachsen-Anhalt,14,2,DE-ST,2208321,0.6339658047901551,0.09056654354145073
362,2020-03-23,Sachsen-Anhalt,66,3,DE-ST,2208321,2.988695936867874,0.13584981531217608
378,2020-03-24,Sachsen-Anhalt,62,4,DE-ST,2208321,2.807562849784972,0.18113308708290146
394,2020-03-25,Sachsen-Anhalt,51,4,DE-ST,2208321,2.3094468603069935,0.18113308708290146
410,2020-03-26,Sachsen-Anhalt,58,2,DE-ST,2208321,2.626429762702071,0.09056654354145073
426,2020-03-27,Sachsen-Anhalt,78,3,DE-ST,2208321,3.532095198116578,0.13584981531217608
442,2020-03-28,Sachsen-Anhalt,42,0,DE-ST,2208321,1.9018974143704652,0.0
458,2020-03-29,Sachsen-Anhalt,19,0,DE-ST,2208321,0.8603821636437818,0.0
474,2020-03-30,Sachsen-Anhalt,72,7,DE-ST,2208321,3.260395567492226,0.31698290239507754
490,2020-03-31,Sachsen-Anhalt,56,1,DE-ST,2208321,2.5358632191606203,0.045283271770725365
506,2020-04-01,Sachsen-Anhalt,36,0,DE-ST,2208321,1.630197783746113,0.0
522,2020-04-02,Sachsen-Anhalt,46,1,DE-ST,2208321,2.0830305014533668,0.045283271770725365
538,2020-04-03,Sachsen-Anhalt,44,1,DE-ST,2208321,1.9924639579119159,0.045283271770725365
554,2020-04-04,Sachsen-Anhalt,34,1,DE-ST,2208321,1.5396312402046624,0.045283271770725365
570,2020-04-05,Sachsen-Anhalt,39,0,DE-ST,2208321,1.766047599058289,0.0
586,2020-04-06,Sachsen-Anhalt,26,1,DE-ST,2208321,1.1773650660388595,0.045283271770725365
602,2020-04-07,Sachsen-Anhalt,45,2,DE-ST,2208321,2.0377472296826413,0.09056654354145073
618,2020-04-08,Sachsen-Anhalt,48,0,DE-ST,2208321,2.173597044994817,0.0
634,2020-04-09,Sachsen-Anhalt,39,2,DE-ST,2208321,1.766047599058289,0.09056654354145073
650,2020-04-10,Sachsen-Anhalt,25,1,DE-ST,2208321,1.132081794268134,0.045283271770725365
666,2020-04-11,Sachsen-Anhalt,29,1,DE-ST,2208321,1.3132148813510356,0.045283271770725365
682,2020-04-12,Sachsen-Anhalt,13,1,DE-ST,2208321,0.5886825330194297,0.045283271770725365
698,2020-04-13,Sachsen-Anhalt,11,1,DE-ST,2208321,0.49811598947797897,0.045283271770725365
714,2020-04-14,Sachsen-Anhalt,25,0,DE-ST,2208321,1.132081794268134,0.0
730,2020-04-15,Sachsen-Anhalt,21,0,DE-ST,2208321,0.9509487071852326,0.0
746,2020-04-16,Sachsen-Anhalt,25,2,DE-ST,2208321,1.132081794268134,0.09056654354145073
762,2020-04-17,Sachsen-Anhalt,61,1,DE-ST,2208321,2.762279578014247,0.045283271770725365
778,2020-04-18,Sachsen-Anhalt,23,1,DE-ST,2208321,1.0415152507266834,0.045283271770725365
793,2020-04-19,Sachsen-Anhalt,15,0,DE-ST,2208321,0.6792490765608804,0.0
809,2020-04-20,Sachsen-Anhalt,13,2,DE-ST,2208321,0.5886825330194297,0.09056654354145073
825,2020-04-21,Sachsen-Anhalt,29,1,DE-ST,2208321,1.3132148813510356,0.045283271770725365
841,2020-04-22,Sachsen-Anhalt,16,0,DE-ST,2208321,0.7245323483316058,0.0
856,2020-04-23,Sachsen-Anhalt,29,2,DE-ST,2208321,1.3132148813510356,0.09056654354145073
872,2020-04-24,Sachsen-Anhalt,23,2,DE-ST,2208321,1.0415152507266834,0.09056654354145073
888,2020-04-25,Sachsen-Anhalt,19,2,DE-ST,2208321,0.8603821636437818,0.09056654354145073
903,2020-04-26,Sachsen-Anhalt,5,0,DE-ST,2208321,0.2264163588536268,0.0
919,2020-04-27,Sachsen-Anhalt,6,0,DE-ST,2208321,0.27169963062435215,0.0
935,2020-04-28,Sachsen-Anhalt,13,0,DE-ST,2208321,0.5886825330194297,0.0
951,2020-04-29,Sachsen-Anhalt,16,0,DE-ST,2208321,0.7245323483316058,0.0
967,2020-04-30,Sachsen-Anhalt,12,1,DE-ST,2208321,0.5433992612487043,0.045283271770725365
983,2020-05-01,Sachsen-Anhalt,11,0,DE-ST,2208321,0.49811598947797897,0.0
999,2020-05-02,Sachsen-Anhalt,5,1,DE-ST,2208321,0.2264163588536268,0.045283271770725365
1013,2020-05-03,Sachsen-Anhalt,4,0,DE-ST,2208321,0.18113308708290146,0.0
1029,2020-05-04,Sachsen-Anhalt,5,1,DE-ST,2208321,0.2264163588536268,0.045283271770725365
1045,2020-05-05,Sachsen-Anhalt,19,1,DE-ST,2208321,0.8603821636437818,0.045283271770725365
1061,2020-05-06,Sachsen-Anhalt,10,0,DE-ST,2208321,0.4528327177072536,0.0
1077,2020-05-07,Sachsen-Anhalt,12,1,DE-ST,2208321,0.5433992612487043,0.045283271770725365
1092,2020-05-08,Sachsen-Anhalt,8,0,DE-ST,2208321,0.3622661741658029,0.0
1108,2020-05-09,Sachsen-Anhalt,4,1,DE-ST,2208321,0.18113308708290146,0.045283271770725365
