date,iso3166-2,RelativeHumiditySurface,SolarRadiation,Surfacepressure,TemperatureAboveGround,Totalprecipitation,UVIndex,WindSpeed
2020-02-13,DE-BW,80.113988,1505759.748267,2290157.738271,276.227143,0.008013,4.268546,4.467023999999999
2020-02-14,DE-BW,82.431173,2213486.0155419996,2314397.0428130003,278.061304,0.0034219999999999997,3.935521,4.445492
2020-02-15,DE-BW,77.57350100000001,5788435.226254,2318321.117518,277.92366699999997,0.0,6.111162,2.432434
2020-02-16,DE-BW,52.042532,1134468.7870200002,2303501.2679689997,283.759787,0.000175,5.963716000000001,4.552435
2020-02-17,DE-BW,79.180284,202251.602841,2309722.188237,281.433797,0.011789,4.179108,4.875928
2020-02-18,DE-BW,70.66853499999999,3952516.7467650003,2325179.8949619997,278.011646,0.001181,5.440258999999999,5.4542589999999995
2020-02-19,DE-BW,74.558084,3893161.261786,2316167.7443959997,276.739142,0.0060420000000000005,5.370927,5.5934550000000005
2020-02-20,DE-BW,73.057302,3924745.238994,2312992.918246,278.594575,0.001425,5.554888,4.230539
2020-02-21,DE-BW,65.553789,6640092.995493,2329950.360296,277.264409,0.000895,7.685463,4.53529
2020-02-22,DE-BW,54.071764,7679036.972498,2328536.188006,279.891137,0.001109,8.203836,4.756994000000001
2020-02-23,DE-BW,69.87070899999999,1353878.604958,2317364.7338799997,283.244725,0.007352,4.8026349999999995,8.17565
2020-02-24,DE-BW,80.314208,660491.781895,2308155.010746,281.89453,0.0052840000000000005,5.613589,4.663207
2020-02-25,DE-BW,78.67531,723148.19062,2276180.8468919997,279.777256,0.008104,5.230876,6.260114
2020-02-26,DE-BW,81.445764,2721533.17255,2272775.638895,274.491409,0.008251999999999999,5.680148,6.446453
2020-02-27,DE-BW,83.948059,757048.739813,2271955.367229,274.39118199999996,0.012448,6.183730000000001,6.175576
2020-02-28,DE-BW,67.19680699999999,6612445.598336,2303110.647966,275.979675,0.001052,9.453201,4.434665
2020-02-29,DE-BW,69.74037,4022420.411775,2271214.933152,280.755364,0.006412999999999999,8.720129,4.874364
2020-03-01,DE-BW,69.518895,6436111.604923001,2264950.9544720002,280.300717,0.0033909999999999995,8.551652,5.926637
